,state
0,Alabama
1,Arkansas
2,California
3,Colorado
4,Connecticut
5,Delaware
6,Florida
7,Georgia
8,Hawaii
9,Idaho
10,Illinois
11,Indiana
12,Iowa
13,Kansas
14,Kentucky
15,Louisiana
16,Maine
17,Maryland
18,Massachusetts
19,Michigan
20,Minnesota
21,Mississippi
22,Missouri
23,Montana
24,Nebraska
25,Nevada
26,New Hampshire
27,New Jersey
28,New Mexico
29,North Carolina
30,North Dakota
31,Ohio
32,Oklahoma
33,Oregon
34,Pennsylvania
35,Rhode Island
36,South Carolina
37,South Dakota
38,Tennessee
39,Texas
40,Utah
41,Vermont
42,Virginia
43,Washington
44,West Virginia
45,Wisconsin
46,Wyoming
